Question,Answer
پاکستان کا سب سے بڑا شہر,کراچی پاکستان میں سب سے بڑا شہر ہے
پاکستان میں کسی سامان درآمد؟,مشینری پاکستان کی بڑی درآمد ہے
پاکستان میں مشہور کھیلیں کیا ہیں؟,کرکٹ پاکستان میں مشہور کھیل ہے
پاکستانی پرچم کا رنگ کیا ہے,سبز اور سفید
پاکستان کا سب سے بڑا ہوائی اڈے کونسا ہے؟,کراچی میں واقع پاکستان میں مسور ایئر بیسز سب سے بڑا ہے
پاکستانی قومی شاعر,علامہ اقبال پاکستان کا قومی شاعر ہے
ہنزا کہاں ہے,اس کے شمالی حصے میں پاکستان
پاکستان میں فاسٹ یونیورسٹی کا درجہ؟,جس میدان میں
پاکستان کے بڑے دریاؤں؟,راوی سٹیج چناب انڈس دریا پاکستان کے نزدیک ہیں
بینظیر,پاکستان کے پہلے وزیر اعظم
مسلم لیگ نون,پاکستان میں ایک سیاسی جماعت
پاکستان کا سب سے بڑا جھیل؟,جھیل مانچار پاکستان میں سب سے بڑا میٹھی پانی کی جھیل ہے اور ایشیا میں سب سے بڑی ہے.
پاکستان میں سیاست,یہ بہت اچھا نہیں ہے
پاکستان میں سب سے بڑا صوبہ,بیلچستان
٠.١,اس سے اپ کا کیا مطلب ہے
پاکستان پاکستان کیوں ماحول دوست نہیں ہے,ہمیشہ بڑھتی ہوئی آبادی، آبادی اور اس کی بے چینی کی وجہ سے
پاکستان میں قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان میں مشہور بینک,کوئی مشہور بینک نہیں ہے
پاکستانی کشمیر کا دارالحکومت کیا ہے؟,مظفرآباد
بینظیر بھٹو,اس سے اپ کا کیا مطلب ہے
٥٦,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
ہم اپنے تعلیمی نظام کو کیسے تبدیل کرسکتے ہیں,تعلیم کے لئے زیادہ بجٹ مختص کرکے
پاکستان میں کونسا مال دنیا بھر میں برآمد کرتا ہے؟,پاکستان برآمد کھیلوں کا سامان
ہیک کیا ہے ؟؟,پاکستان کی اعلی تعلیمی کمیشن
پاکستان کی مشہور مسجد کیا ہے؟,فیصل مسجد
پاکستان کے پہلے صدر کا نام کیا ہے ؟؟؟,اشکندر میرزا
١٢,اس سے اپ کا کیا مطلب ہے
پاکستان کیا ہے,پاکستان ایک اسلامی ملک ہے
آپ کا ایک سوال کیوں لگ رہا ہے؟,افسوس، کسی بھی الجھن سے بچنے کے لئے براہ مہربانی مزید مخصوص رہیں
پاکستان کی قومی خوراک,باریانی پاکستانی قومی خوراک ہے
حافظ جھنندھر؟,انہوں نے پاکستان کا قومی جانور لکھا
قائد اعظم کا تھا,وہ پاکستانی بانی ہے
پاکستان میں سب سے بہترین خوراک ہے,باریانی پاکستانی قومی خوراک ہے
امیر خان کون ہے؟,سابق کرکٹر
پاکستان کا علاقہ ہے؟,پاکستان ہیں 796،095 کلو میٹر
پاکستان میں رحم,اس سے اپ کا کیا مطلب ہے
ابھی پاکستان کا صدر کون ہے؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
پاکستان میں کمپنیاں ہیں؟,جس میدان میں
پاکستان میں دریافتیں ہیں,سوتیل راوی چناب پاکستان میں چند دریا ہیں
پاکستان میں کتنے ہسپتال کل ہیں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
٠.١,اس سے اپ کا کیا مطلب ہے
سی پی سی کیا ہے؟,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
پاکستان میں مشہور مسجد کیا ہے؟,فیصل مسجد
پاکستان کے قومی ہیرو؟,قائداعظم پاکستان کے قومی ہیرو ہے
پاکستان میں قومی کھیل,ہاکی پاکستان کا قومی کھیل ہے
بپال,اس سے اپ کا کیا مطلب ہے
جب پاکستان وجود میں آیا,١٩٤٧-٠٨-١٤ ٠٠:٠٠:٠٠
کراچی کہاں ہے؟,یہ سندھ میں واقع ہے
پاکستان کی موجودہ تعلیم کی ضروریات,اس سے اپ کا کیا مطلب ہے
کیوں پاکستان نے پاکستان میں روکا,کیونکہ آپ نے ماں نے کہا
تم مجھے یہ کیوں کہہ رہے ہو؟,کیونکہ آپ اس کے لئے پوچھ رہے ہیں
پاکستان کی جغرافیایی مقام کی طاقت؟,اس میں ایک گرم پانی کی بندرگاہ ہے اور معدنیات سے بہتر ہوتا ہے
پاکستان کا قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان کی کتنی سمندر بندرگاہ ہے,پاکستان میں صرف ایک سمندر کی بندرگاہ ہے
جی بی میں کتنی یونیورسٹییں,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں بینکوں ہیں,آپ کے سوال کے بارے میں مخصوص ہونا
صحت کی دیکھ بھال کے مطابق پاکستان کے مشہور ہسپتال کا نام؟,CIDP انٹرنیشنل فاؤنڈیشن، CMH، SKMH وغیرہ
پاکستان میں کتنے ندی,پاکستان میں تقریبا 20-25 دریاؤں ہیں
نوازی شریف کون ہے,سابق وزیر اعظم پاکستان
پاکستان میں کسی بھی مشہور بینک؟,پاکستان کے اس مشہور بینک کے طور پر نہیں ہے
پاکستان کا کھانا ہے,آپ کے سوال کے بارے میں زیادہ خاص ہو
پاکستان میں واقع واقعہ کہاں ہے؟,پنجاب میں واقع ہے
اب بدھ کہاں ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا آرمی عملہ کون ہے؟,قمر جاوید باجواہ سربراہ ہیں
کراچی کہاں واقع ہے؟,یہ سندھ میں واقع ہے
قومی ہیرو ہے,قائداعظم پاکستان کے قومی ہیرو ہے
پاکستان میں درآمدات ہیں,مشینری پاکستان کی سب سے بڑی درآمد ہے
پاکستان میں نئے بدعات کیا ہیں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں تعلیمی نظام کیا ہے؟,اس کی نشاندہی نہیں
مشہور بینک آف امریکہ؟,ایسی مشہور بینک نہیں ہے
سی پی سی کیا ہے؟,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
پاکستان کے پہلے وزیر اعظم؟,لیاقت علی خان پاکستان کا پہلا وزیر اعظم ہے
پاکستان کی اقلیتیں؟,ہندس مسیحی اقلیتیں پاکستان ہیں
کونسل صوبہ اسلام آباد میں ہے؟,یہ ریاست کی دارالحکومت ہے لہذا کسی صوبے میں واقع نہیں ہے
پاکستان کے ساتھ ترکی کا تعلق؟,ان کے اچھے تعلقات ہیں کیونکہ دونوں ہی اسلامی ممالک ہیں
کیا آپ کر سکتے ہیں گاؤں ملان، بدین، سندھ برائے مہربانی,سب پاکستان میں واقع ہیں
پاکستان میں دریاؤں,آپ کے سوال کے بارے میں زیادہ خاص ہو
مریمام نوزاز کون ہے,نویج شیرف کے ڈیوگسٹرٹر
اقبال ایس کے بہترین,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا فوجی ہیرو ہے,10 مشہور (فوجی) ہیروز ہیں، جنہوں نے نشن حیدر سے نوازا ... لیکن آپ کو زیادہ مخصوص کرنے کی کوشش کرنی چاہئے
تمہارا مالک کون ہے؟,میرے تین مالکان ہیں
پاکستان کی مجموعی آبادی ہے,220 ملین پاکستان آبادی ہے
4 کیا ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
مختلف ممالک میں کتنی فیصد کپاس برآمد کی جاتی ہے؟,50 فیصد
پاکستان کے قومی جانور؟,مارخور پاکستان کا قومی جانور ہے
مجھے لہر کے ثقافتی ورثہ کے بارے میں کچھ بتاؤ؟,اس میں امیر شہباز مسجد، ڈیٹا ڈاربار، شاہی فورٹ وغیرہ جیسے ایک امیر ثقافتی ورثہ ہے
پاکستان کی مشہور سائٹس؟,لہور پاکستان کے مشہور شہر ہے
میرے والد کے بینک اکاؤنٹ میں کتنے پیسے ہیں,میں تمہارا باپ نہیں ہوں
پاکستان میں کتنے جھیلیں ہیں؟,پاکستان میں تقریبا 20-25 جھیل ہیں
پاکستان کا دوسرا بڑا شہر؟,لہور پاکستان کا دوسرا بڑا شہر ہے
چک کیا ہے؟,پاکستان کے قومی جانور
4 کون ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
علامہ اقبال کہاں ہے؟,پاکستان کے قومی شاعر
پاکستان بہت انتہا پسند ہیں,تعلیم کی کمی کی وجہ سے
4 کون ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں کونسل ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں کسی بھی مشہور گلوکار؟,علی ظفر پاکستان کے مشہور گلوکار ہے
پاکستان میں سب سے مشہور کرکٹر کون ہے؟,عمران خان
5 کیا ہے,اس سے اپ کا کیا مطلب ہے
پاکستان کا سب سے بڑا شخص کون ہے؟,میاں محمد منصش پاکستان کے سب سے امیر ترین شخص ہیں
پاکستان میں تاریخی مقامات کیا ہیں,بہت سے تاریخی مقامات موجود ہیں تاکہ آپ کے سوال کے بارے میں مخصوص ہو
پاکستان کی کرنسی؟,روپیہ پاکستان کی کرنسی ہے
پاکستان میں کل آبادی کیا ہے؟,220 ملین پاکستان آبادی ہے
بہترین اقبال,وہ پاکستانی وزیر داخلہ ہیں
پاکستان کے قومی ہیرو؟,قائداعظم پاکستان کا ہیرو ہے
پاکستان کی پہلی فلم؟,تیری یااد پاکستان کی پہلی فلم ہے
روپیہ کیا ہے,پاکستان کی کرنسی
پاکستان کے موجودہ صدر؟,ممنون حسین پاکستان کا صدر ہے
بہترین اقبال,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
مجبو چاچا کہاں ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کے قومی ہیرو؟,قائداعظم پاکستان کے قومی ہیرو ہے
مجھے پاکستان کے بارے میں سب سے اچھی چیز بتاو,پاکستان میں بہت ہی خوبصورت خوبصورتی ہے
پاکستان میں مختلف تعلیمی نظام کیا ہیں؟,پاکستان میں کئی بورڈوں اور بین الاقوامی تعلیمی نظام موجود ہیں
آپ کا نام کیا ہے,میرا نام پی بی بوٹ ہے
فوجی اہلکار جنہوں نے نیشن ای ہائڈر حاصل کیا؟,10 مشہور (فوجی) ہیروز ہیں، جنہوں نے نشن حیدر سے نوازا ... لیکن آپ کو زیادہ مخصوص کرنے کی کوشش کرنی چاہئے
پاکستان کا موسم کیا ہے,اس کا ایک اچھا موسم ہے
